-0.010858	-0.156341	-1	-1	1
0.333771	-0.001121	-1	1	-1
-0.13661	-0.334077	-1	-1	1
0.295694	0.136831	-1	1	-1
-0.426438	-0.086389	1	-1	-1
0.769671	0.428975	-1	-1	1
0.597067	0.282853	-1	-1	1
-0.045969	-0.062069	-1	-1	1
-0.01751	-0.34521	-1	-1	1
-0.476645	0.020489	1	-1	-1
0.151686	0.100159	-1	1	-1
0.188477	0.06053	-1	1	-1
0.690252	0.392168	-1	-1	1
-0.59717	0.121418	1	-1	-1
-0.616014	-0.012307	1	-1	-1
0.299458	0.425124	-1	1	-1
0.664566	0.306795	-1	-1	1
-0.269297	-0.431215	-1	-1	1
-0.646584	-0.07469	1	-1	-1
-0.584387	-0.057525	1	-1	-1
0.178039	-0.357655	-1	1	-1
-0.320033	-0.276832	-1	-1	1
0.096949	0.205079	-1	1	-1
0.23622	0.178852	-1	1	-1
-0.098274	0.065063	-1	1	-1
0.750075	0.372002	-1	-1	1
0.190559	0.19479	-1	1	-1
0.721873	0.430238	-1	-1	1
-0.46852	0.055424	1	-1	-1
-0.163556	-0.447381	-1	-1	1
0.116553	0.424508	-1	1	-1
0.703856	0.405725	-1	-1	1
-0.646657	-0.065207	1	-1	-1
0.325625	-0.018336	-1	1	-1
-0.600072	-0.169759	1	-1	-1
0.236314	0.106442	-1	1	-1
-0.271961	-0.331937	-1	-1	1
0.31488	0.039306	-1	1	-1
-0.083189	-0.153558	-1	-1	1
0.466672	-0.040906	-1	1	-1
0.017911	-0.385725	-1	-1	1
-0.432044	0.14792	1	-1	-1
0.109671	0.188442	-1	1	-1
-0.591324	0.007221	1	-1	-1
-0.309274	-0.437888	-1	-1	1
-0.364357	-0.028971	1	-1	-1
0.764606	0.417626	-1	-1	1
0.100221	-0.034943	-1	1	-1
-0.554626	0.015387	1	-1	-1
-0.172249	0.076726	-1	-1	1
0.705295	0.496906	-1	-1	1
0.23968	0.222781	-1	1	-1
-0.105229	-0.363479	-1	-1	1
0.650962	0.395606	-1	-1	1
-0.60203	-0.062335	1	-1	-1
0.167343	-0.485435	-1	-1	1
-0.492519	-0.048778	1	-1	-1
0.170698	0.232069	-1	1	-1
0.039655	0.202862	-1	1	-1
0.258765	-0.072121	-1	1	-1
0.790282	0.31186	-1	-1	1
0.341865	0.108747	-1	1	-1
-0.386572	-0.051992	1	-1	-1
0.076339	0.036662	-1	1	-1
-0.595976	-0.197221	1	-1	-1
-0.499857	-0.081694	1	-1	-1
0.277059	-0.028285	-1	1	-1
0.764457	0.565782	-1	-1	1
0.137599	0.032679	-1	1	-1
-0.393359	-0.086674	1	-1	-1
0.354455	-0.009417	-1	1	-1
0.172267	0.13993	-1	1	-1
0.766631	0.352564	-1	-1	1
-0.547648	-0.039092	1	-1	-1
0.622914	0.352975	-1	-1	1
0.57719	0.415042	-1	-1	1
0.807012	0.325227	-1	-1	1
-0.554472	-0.019766	1	-1	-1
0.735691	0.477444	-1	-1	1
0.666628	0.286912	-1	-1	1
-0.429949	-0.158843	1	-1	-1
-0.599607	0.133591	1	-1	-1
-0.432925	-0.091824	1	-1	-1
-0.194225	0.050877	-1	1	-1
0.454183	0.096618	-1	1	-1
-0.53207	-0.057116	1	-1	-1
-0.021165	-0.358366	-1	-1	1
-0.562799	-0.129498	1	-1	-1
0.103598	0.069795	-1	1	-1
-0.140982	0.190372	-1	1	-1
-0.377558	-0.312606	-1	-1	1
0.373993	0.082905	-1	1	-1
-0.000675	-0.278055	-1	-1	1
0.009417	-0.577413	-1	-1	1
-0.143849	-0.042037	-1	1	-1
0.178218	0.122792	-1	1	-1
0.774301	0.479943	-1	-1	1
0.631172	0.400604	-1	-1	1
-0.41193	-0.117005	1	-1	-1
0.073088	0.11297	-1	1	-1
0.11264	-0.210677	-1	1	-1
-0.23546	0.304633	-1	1	-1
-0.423187	0.206127	1	-1	-1
0.155841	0.113101	-1	1	-1
0.096698	0.181277	-1	1	-1
-0.514588	-0.173257	1	-1	-1
0.096912	-0.167857	-1	-1	1
0.06021	0.296715	-1	1	-1
0.230585	-0.19661	-1	1	-1
0.142799	-0.017073	-1	1	-1
-0.63003	-0.025343	1	-1	-1
-0.514641	0.068388	1	-1	-1
-0.612817	-0.002656	1	-1	-1
-0.297969	-0.433203	-1	-1	1
-0.459615	-0.058582	1	-1	-1
-0.361672	-0.026453	1	-1	-1
0.297877	0.083268	-1	1	-1
0.574556	-0.006699	-1	1	-1
0.644152	0.336919	-1	-1	1
0.267576	0.132997	-1	1	-1
0.335029	0.29034	-1	1	-1
0.124906	-0.008247	-1	1	-1
-0.23336	-0.139555	-1	-1	1
