%Udepth	Depth	Temperature	Salinity	Fluorescence	DO	Xmiss	sigma-t	
133	-133	17.5243	34.4691	8.91E-02	7.7598	63.4781	24.9823	
132	-132	17.5169	34.4717	8.83E-02	7.7608	63.0443	24.9861	
131	-131	17.5212	34.471	8.88E-02	7.7602	62.8811	24.9845	
130	-130	17.5208	34.4709	8.81E-02	7.7603	63.0093	24.9846	
129	-129	17.521	34.4709	8.79E-02	7.7602	63.2303	24.9846	
128	-128	17.5213	34.4705	8.83E-02	7.7602	63.1526	24.9842	
127	-127	17.5188	34.4713	9.17E-02	7.7605	63.1361	24.9854	
126	-126	17.5181	34.4717	9.12E-02	7.7606	63.1607	24.9858	
125	-125	17.5222	34.4709	9.11E-02	7.7601	63.1356	24.9842	
124	-124	17.5278	34.4696	9.17E-02	7.7593	63.3746	24.9819	
123	-123	17.5299	34.4691	9.20E-02	7.759	63.3223	24.981	
122	-122	17.5302	34.4691	9.18E-02	7.7589	62.9342	24.9809	
121	-121	17.5273	34.4702	9.37E-02	7.7593	62.8427	24.9825	
120	-120	17.5254	34.4707	9.41E-02	7.7596	62.8305	24.9833	
119	-119	17.5075	34.474	9.41E-02	7.7621	63.0063	24.9902	
118	-118	17.5044	34.4748	9.51E-02	7.7625	63.147	24.9915	
117	-117	17.5278	34.4686	9.45E-02	7.7593	63.0858	24.9812	
116	-116	17.5593	34.4602	9.47E-02	7.755	62.8435	24.9671	
115	-115	17.5815	34.4536	9.43E-02	7.752	62.7559	24.9567	
114	-114	17.6106	34.4469	9.40E-02	7.748	62.7073	24.9445	
113	-113	17.6243	34.4423	9.47E-02	7.7461	62.7994	24.9377	
112	-112	17.625	34.4421	9.71E-02	7.746	62.9994	24.9373	
111	-111	17.626	34.4424	9.70E-02	7.7459	62.9898	24.9373	
110	-110	17.6359	34.4402	9.60E-02	7.7445	62.707	24.9332	
109	-109	17.6456	34.438	9.60E-02	7.7431	62.5084	24.9291	
108	-108	17.6507	34.4367	9.63E-02	7.7425	62.5441	24.9269	
107	-107	17.6536	34.4364	9.55E-02	7.7421	62.7985	24.926	
