"p1" "p3" "p4" "p6" "p13" "p16" "p19" "p21" "p23" "p25" "s18" "s19" "s20" "s22" "s23" "s25" "s27" "s29" "sA" "sB" "sC" "sD" "sE" "sF" "sG" "w22" "w23" "w25" "w27" "w29" "wA" "wB" "wC" "wD"
"148" 0 0 0 0 0 0 0 0 9.7272 0 65.4012 0 0 0 0 94.3468 0 0 4.1288 46.899 19.35 12.5922 0 72.8456 0 0 0 0 0.1612 0 0 0 0.0489 0
"149" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18.996 7.9838 0 8.0988 0 9.675 4.1974 0 0 0 0 0 0 0 0 0 0 0.0978 0
"150" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20.3264 39.0825 29.025 8.3948 35.698 24.5458 10.668 0.9311 0 0 0 0 0 0.2734 0.0978 0
"151" 0 0 0 0 0 0 0 0 0 0 0 0 0 9.7032 134.7806 75.3508 7.9838 57.876 48.5928 31.266 96.363 12.5922 35.698 72.8456 3.556 0.9311 0 0 0 0.6971 0 0 0.0489 0
"152" 0 0 0 0 11.9616 4.6706 0 0 0 3.072 0 0 0 0 13.2813 0 15.9676 0 0 15.633 0 0 0 48.2998 0 0 0 0 0 0 0 0 0 0
"153" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.112 0 0 0 0 0 0 0 0.0489 0
"154" 0 0 0 0 0 0 0 0 4.8636 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.025 0 0 0
"155" 0 0 0 0 0 0 0 0 0 0 0 0 5.4288 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1753 0 0 0 0
"156" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18.996 7.9838 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2734 0.0489 0
"157" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1612 0 0 0.1392 0.0489 0.1447
"158" 0 0 0 0 4.7348 0 0 0 29.0465 0 0 0 0 0 0 18.996 31.9352 0 8.0988 62.532 38.7 8.3948 53.2724 24.5458 7.112 0 0 0 0 0 0 0 0.0978 0
"159" 0 0 0 0 2.3674 0 0 0 0 0 0 0 0 0 0 0 0 57.876 0 15.633 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"160" 0 0 0 0 0 0 0 0 0 0 0 0 0 9.7032 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"161" 0 0 0 0 109.7726 46.706 18.0804 0 24.1829 15.552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"162" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1392 0 0
"163" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2734 0 0
"164" 0 2.1907 0 0 0 0 9.0402 0 0 0 65.4012 41.61 5.4288 29.1096 188.8896 56.3548 15.9676 14.469 68.9192 359.8485 173.376 50.3688 88.9704 582.7648 3.556 5.6222 1.0209 0.2097 0.4836 0 0.025 0.4125 0.193 0.5834
"165" 0 2.1907 0 0 2.3674 0 0 0 14.5908 0 0 0 0 0 27.0545 188.6936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4125 0.3861 0.5834
"166" 0 0 0 0 11.9616 4.6706 9.0402 0 9.7272 0 0 0 0 9.7032 0 18.996 0 0 4.1288 15.633 9.675 8.3948 0 0 0 0 0 0.2097 0 0 0 1.2375 0.0489 0.8727
"167" 0 0 0 0 0 4.6706 0 0 0 0 0 5.89 0 0 0 0 7.9838 0 12.2276 23.4495 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"168" 0 0 0 0 0 0 9.0402 0 0 0 0 5.89 0 0 0 0 7.9838 0 8.0988 0 0 0 0 0 3.556 0 0 0 0 0 0 0 0.0489 0
"169" 4.476 4.3814 0 18.0405 78.7472 56.0472 66.4107 4.3413 82.2759 24.96 305.5002 106.97 49.01 185.5737 714.2388 282.4072 151.272 43.407 214.6976 602.4495 115.713 146.7736 820.5048 1360.3124 28.575 0 0 0.6212 1.9345 0.6971 0.1769 4.1301 1.2561 2.4735
"170" 0 0 0 0 2.3674 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17.5744 0 0 0 0 0 0 0 0 0 0 0
"171" 0 0 4.1256 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"172" 0 0 0 0 0 0 0 0 0 3.072 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0489 0
"173" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.675 0 0 0 0 0 0 0 0 0 0 0 0 0
"174" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0489 0
"175" 0 0 0 0 0 0 0 0 4.8636 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"176" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17.5744 0 0 0 0 0 0 0 0 0 0 0
"177" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1392 0 0
"178" 0 0 0 0 0 0 0 0 4.8636 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1447
"179" 0 0 0 0 0 0 0 0 0 0 10.9002 0 0 0 0 37.992 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1447
"180" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1392 0 0
"181" 0 0 0 0 0 0 0 0 0 0 0 0 0 9.7032 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
