"p1" "p3" "p4" "p6" "p13" "p16" "p19" "p21" "p23" "p25" "s18" "s19" "s20" "s22" "s23" "s25" "s27" "s29" "sA" "sB" "sC" "sD" "sE" "sF" "sG" "w22" "w23" "w25" "w27" "w29" "wA" "wB" "wC" "wD"
"35" 0 0 0 0 40.6196 0 18.0804 0 38.7737 21.792 0 5.89 0 0 67.3903 150.7016 87.6117 43.407 80.988 195.702 57.663 37.7766 107.094 121.1454 0 0 0 0 0 0.1753 0 0.5517 3.8636 1.4561
"36" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29.025 0 0 0 0 0 0 0 0 0 0 0 0 0
"37" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2734 0 0
"38" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1392 0 0
"39" 0 0 0 0 0 9.3412 0 0 4.8636 0 0 0 0 0 0 37.992 7.9838 0 12.2276 7.8165 0 0 0 0 0 0 0 0 0.1612 0 0 0 0.2909 0.1447
"40" 0 0 0 0 16.6964 28.0236 27.1206 0 14.5908 28.032 76.3014 100.89 0 0 13.2813 18.996 0 0 12.2276 70.3485 29.025 12.5922 17.5744 0 0 0 0 0.4114 0.3224 0.3506 0.2278 2.2017 1.8842 0.7281
"41" 0 0 0 0 0 0 0 0 0 0 0 5.89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"42" 0 0 0 0 0 0 0 0 0 0 0 0 16.2864 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1612 0 0 0 0 0
"43" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.2813 0 0 14.469 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"44" 0 0 0 0 0 0 0 0 0 0 21.8004 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"45" 0 0 0 0 0 0 0 0 4.8636 3.072 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1441 0.7281
"46" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1447
"47" 0 0 0 0 0 0 0 0 9.7272 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1392 0.0489 0.8727
"48" 0 0 0 0 0 0 0 0 4.8636 3.072 32.7006 0 0 0 40.3358 94.3468 0 0 0 0 0 4.1974 0 24.5458 0 0 0 0 0.1612 0 0.025 0 0.0489 0.2894
"49" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.633 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"50" 0 0 0 0 0 18.6824 12.0536 0 24.1829 6.24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1612 0 0 0 0.242 0
"51" 0 0 0 0 0 0 0 0 0 0 76.3014 23.75 10.8576 58.6235 54.109 37.992 0 0 0 0 29.025 8.3948 0 121.1454 0 1.8621 1.0209 0.6212 0.3224 0.1753 0.2528 0.2734 0.0489 3.1969
