AREA,id,SL,ML,HH1,HH2,HL1,HD1,HD2,HL2,BD2,BD5,BD6,BL1,BL4,PFL1,PFL2,AFL,PH,DFL,CL1,CL2
3,c65,-0.3500,0.0714,-0.9133,-0.5236,-0.4202,-0.1039,-0.3898,-0.4623,0.4850,0.7121,0.7241,0.4209,0.5614,0.0467,-0.4775,0.6520,0.1919,-0.2150,0.1349,0.1850
3,c66,-0.3382,0.0892,-0.8898,-0.5549,-0.4691,-0.0987,-0.4394,-0.4772,0.3853,0.7434,0.8488,0.2934,0.6783,0.0610,-0.4405,0.8338,0.1020,-0.1951,0.1602,0.1341
3,c67,-0.3435,0.1020,-0.9002,-0.5738,-0.4581,-0.0996,-0.4483,-0.4769,0.4299,0.7267,0.7321,0.3552,0.5804,0.0252,-0.4061,0.6581,0.1928,-0.0511,0.0894,0.2244
3,c68,-0.3819,0.0745,-0.9020,-0.5869,-0.4496,-0.1318,-0.4365,-0.5183,0.4404,0.7561,0.7971,0.3592,0.6659,0.0528,-0.4034,0.7186,0.1623,-0.1581,0.1089,0.2174
3,c69,-0.5098,-0.0305,-0.8495,-0.5564,-0.4672,-0.0984,-0.4191,-0.4800,0.5211,0.6974,0.7638,0.4380,0.5750,0.0777,-0.4461,0.6341,0.2015,-0.1709,0.1594,0.2845
3,c70,-0.4297,0.0168,-0.8898,-0.5467,-0.4971,-0.0964,-0.4545,-0.4789,0.4407,0.7367,0.8056,0.3751,0.6601,0.1128,-0.3948,0.7242,0.1352,-0.1228,0.1096,0.1504
3,c71,-0.4561,-0.0068,-0.9561,-0.5956,-0.4177,-0.1023,-0.4546,-0.4661,0.4224,0.7628,0.8403,0.3094,0.6780,0.0747,-0.3290,0.7762,0.1964,-0.1709,0.1422,0.1635
3,c72,-0.4663,0.0449,-0.8704,-0.6075,-0.6294,-0.1056,-0.5477,-0.4873,0.4327,0.8089,0.8595,0.3686,0.7452,0.0735,-0.4223,0.8086,0.1944,-0.1205,0.1583,0.1852
3,c73,-0.4742,-0.0080,-0.9026,-0.5401,-0.5212,-0.0847,-0.4535,-0.4309,0.4259,0.7647,0.7847,0.3777,0.6514,0.0932,-0.4036,0.7320,0.2053,-0.2326,0.1638,0.2301
3,c74,-0.3576,0.0629,-0.8999,-0.5490,-0.4693,-0.1088,-0.4219,-0.4685,0.4313,0.7277,0.8062,0.3684,0.6424,0.0538,-0.4425,0.6813,0.1973,-0.2273,0.1691,0.1809
3,c75,-0.4671,0.0162,-0.9089,-0.5639,-0.5148,-0.1062,-0.4697,-0.4764,0.4702,0.7280,0.7865,0.3757,0.5892,0.0648,-0.4337,0.7086,0.2422,-0.1218,0.1905,0.2699
3,c76,-0.4764,0.0641,-0.8875,-0.6111,-0.4489,-0.1162,-0.4781,-0.5354,0.4724,0.7678,0.8028,0.3976,0.6477,0.1073,-0.3713,0.7261,0.2071,-0.1798,0.1020,0.1916
3,c77,-0.4329,0.0554,-0.8845,-0.5247,-0.4967,-0.0905,-0.4556,-0.4904,0.4759,0.7608,0.8136,0.4021,0.6452,0.0507,-0.3742,0.7251,0.2095,-0.2208,0.0459,0.1479
3,c78,-0.3958,0.0386,-0.9082,-0.5747,-0.4497,-0.1285,-0.4180,-0.4899,0.4083,0.7670,0.7973,0.3533,0.6249,0.0471,-0.4558,0.7706,0.2266,-0.1405,0.1165,0.2199
3,c79,-0.4263,0.0380,-0.8629,-0.5516,-0.4813,-0.1170,-0.4211,-0.5022,0.4697,0.7892,0.7839,0.3957,0.6887,0.0418,-0.4215,0.7321,0.1747,-0.2116,0.0833,0.1636
3,c80,-0.3396,0.0712,-0.8823,-0.6024,-0.3740,-0.1158,-0.3857,-0.4805,0.4062,0.7176,0.7702,0.3174,0.5814,0.0605,-0.4745,0.7213,0.1717,-0.1544,0.1456,0.2454
3,c81,-0.4743,0.0001,-0.8168,-0.5840,-0.4816,-0.1194,-0.4083,-0.4975,0.4726,0.7048,0.7964,0.3864,0.5877,0.1019,-0.3750,0.6949,0.1962,-0.1198,0.0997,0.1884
3,c82,-0.4785,0.0203,-0.9178,-0.5548,-0.4531,-0.1531,-0.4294,-0.5606,0.4412,0.7519,0.8288,0.3644,0.6513,0.0718,-0.3991,0.7633,0.2005,-0.1363,0.1232,0.2663
3,c83,-0.4884,-0.0578,-0.8728,-0.5654,-0.4709,-0.1501,-0.3900,-0.5044,0.3488,0.7442,0.8616,0.3298,0.6390,0.1385,-0.3262,0.7853,0.2371,-0.1880,0.1392,0.2123
3,c84,-0.5485,0.0075,-0.9078,-0.5673,-0.4690,-0.1162,-0.4594,-0.5147,0.4626,0.7864,0.7776,0.4093,0.6678,0.0746,-0.3703,0.7226,0.2088,-0.1632,0.1571,0.2111
3,c85,-0.5041,-0.1057,-0.8657,-0.5029,-0.4191,-0.1688,-0.3386,-0.5613,0.4494,0.7834,0.7725,0.3877,0.6613,0.0791,-0.4291,0.7115,0.2175,-0.2141,0.1736,0.2339
3,c86,-0.4587,0.0432,-0.9036,-0.6052,-0.4309,-0.1420,-0.4292,-0.5273,0.4702,0.7621,0.8655,0.4471,0.6655,0.0382,-0.4291,0.7670,0.2181,-0.2412,0.1247,0.1639
3,c87,-0.3149,0.1351,-0.8667,-0.5572,-0.4056,-0.1118,-0.4079,-0.5247,0.4208,0.7261,0.8324,0.2991,0.6204,0.0036,-0.4881,0.7681,0.2136,-0.1767,0.1303,0.1296
3,c88,-0.5490,-0.0334,-0.8923,-0.5577,-0.5022,-0.1186,-0.4628,-0.5208,0.4903,0.8236,0.8236,0.3594,0.7390,0.0817,-0.3843,0.8036,0.1578,-0.1610,0.1204,0.1672
3,c89,-0.5030,-0.0264,-0.8911,-0.5183,-0.4254,-0.1233,-0.3961,-0.5268,0.4763,0.7647,0.7658,0.3734,0.6702,0.0773,-0.4481,0.7112,0.1933,-0.2051,0.1403,0.2530
3,c90,-0.4570,0.0688,-0.8275,-0.5538,-0.4199,-0.0586,-0.4167,-0.4532,0.3963,0.7234,0.7348,0.3471,0.6057,0.0750,-0.4265,0.6500,0.1725,-0.1476,0.1115,0.2340
3,c91,-0.3854,0.0302,-0.9850,-0.5473,-0.3915,-0.0951,-0.3987,-0.4141,0.4379,0.7173,0.7790,0.3499,0.6265,0.1255,-0.3427,0.6580,0.1804,-0.2007,0.0327,0.1649
3,c92,-0.3446,0.0828,-0.9534,-0.5131,-0.3244,-0.0678,-0.3678,-0.4224,0.3840,0.6921,0.8352,0.2850,0.6288,0.0824,-0.5181,0.7392,0.1493,-0.1384,0.0383,0.1232
3,c93,-0.3685,0.0362,-0.8553,-0.5602,-0.3688,-0.1598,-0.3406,-0.5510,0.3512,0.7606,0.7827,0.3093,0.6314,0.0185,-0.4394,0.7458,0.1813,-0.1097,0.1276,0.2194
3,c94,-0.4211,0.0756,-0.8458,-0.5819,-0.4365,-0.0754,-0.4402,-0.4696,0.4487,0.7478,0.8288,0.3787,0.6674,0.0933,-0.4312,0.8081,0.1236,-0.1555,0.0458,0.0168
3,c95,-0.4685,-0.0253,-0.8847,-0.5425,-0.4351,-0.1116,-0.3755,-0.4484,0.4552,0.7394,0.8354,0.3683,0.6398,0.0486,-0.4381,0.7901,0.1537,-0.2256,0.1412,0.1665
3,c96,-0.4846,0.0028,-0.8028,-0.5171,-0.4009,-0.1243,-0.3339,-0.5277,0.4103,0.6949,0.7065,0.3985,0.5375,0.0601,-0.4050,0.6449,0.1885,-0.1544,0.1493,0.2953
3,c97,-0.3438,0.1051,-0.9157,-0.5710,-0.3997,-0.1004,-0.4242,-0.4821,0.4019,0.7800,0.7996,0.2964,0.6965,0.0753,-0.4653,0.7752,0.1521,-0.2289,0.1163,0.1480
3,c98,-0.3669,0.0433,-0.8921,-0.5369,-0.4095,-0.1407,-0.3651,-0.5083,0.3645,0.7550,0.7776,0.3517,0.6619,0.0288,-0.3785,0.6603,0.2286,-0.2203,0.1539,0.1751
3,c99,-0.2960,0.1250,-0.9332,-0.6431,-0.3945,-0.1323,-0.4274,-0.4878,0.3980,0.7065,0.8666,0.3080,0.6377,0.1122,-0.4113,0.7889,0.1598,-0.1771,0.1265,0.1040
3,c100,-0.4316,0.0449,-0.8804,-0.5802,-0.3499,-0.1770,-0.3504,-0.5794,0.3985,0.7091,0.8239,0.3507,0.5843,0.0596,-0.4009,0.7559,0.2105,-0.1686,0.1602,0.2354
